Time index,Year,Month,Day,Hour,Minute,Day of year,Minute of day,Time resolution_min,Load power_MW,Wind power_MW,PV power_MW,Hydropower output_MW,Pumped-storage generation_MW,Pumped-storage pumping_MW,Stored energy_MWh,Net load_MW,Curtailment_MW,Total supply_MW,Power deficit_MW,Power surplus_MW,Total supply with slack_MW,Power-balance error_MW,Power-deficit flag,TOU season code,General TOU period code,General TOU relative-price index,General TOU tariff_CNY_per_MWh,Yalong River proxy TOU period code,Yalong River proxy relative-price index,Yalong River proxy tariff_CNY_per_MWh,Tariff-policy applicability code
2146,2025,3,31,9,0,90,540,60,9500.88000000,645.49000000,1308.54000000,7546.84000000,0.00000000,0.00000000,763.60000000,7546.84000000,0.00000000,9500.88000000,0.00000000,0.00000000,9500.88000000,0.00000000,1,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
2147,2025,3,31,10,0,90,600,60,9482.48000000,646.69000000,1789.33000000,7046.46000000,0.00000000,0.00000000,763.60000000,7046.46000000,0.00000000,9482.48000000,0.00000000,0.00000000,9482.48000000,0.00000000,1,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
2148,2025,3,31,11,0,90,660,60,9390.32000000,641.98000000,2156.07000000,7391.28000000,0.00000000,799.02000000,1466.73000000,6592.26000000,0.00000000,9390.32000000,0.00000000,0.00000000,9390.32000000,0.00000000,1,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
2149,2025,3,31,12,0,90,720,60,9278.14000000,631.59000000,2227.97000000,7235.58000000,0.00000000,816.99000000,2185.69000000,6418.59000000,0.00000000,9278.14000000,0.00000000,0.00000000,9278.14000000,0.00000000,1,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
2150,2025,3,31,13,0,90,780,60,9190.70000000,616.02000000,2025.32000000,7315.69000000,0.00000000,766.33000000,2860.06000000,6549.36000000,0.00000000,9190.70000000,0.00000000,0.00000000,9190.70000000,0.00000000,1,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
2151,2025,3,31,14,0,90,840,60,9149.40000000,596.14000000,1719.65000000,7523.52000000,0.00000000,689.91000000,3467.18000000,6833.61000000,0.00000000,9149.40000000,0.00000000,0.00000000,9149.40000000,0.00000000,1,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
2152,2025,3,31,15,0,90,900,60,9165.44000000,573.02000000,1361.56000000,7831.25000000,0.00000000,600.39000000,3995.52000000,7230.86000000,0.00000000,9165.44000000,0.00000000,0.00000000,9165.44000000,0.00000000,1,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
2153,2025,3,31,16,0,90,960,60,9257.35000000,547.92000000,893.76000000,7815.68000000,0.00000000,0.00000000,3995.52000000,7815.68000000,0.00000000,9257.35000000,0.00000000,0.00000000,9257.35000000,0.00000000,1,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
2154,2025,3,31,17,0,90,1020,60,9443.39000000,522.21000000,383.37000000,8537.81000000,0.00000000,0.00000000,3995.52000000,8537.81000000,0.00000000,9443.39000000,0.00000000,0.00000000,9443.39000000,0.00000000,1,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
2155,2025,3,31,18,0,90,1080,60,9702.33000000,497.25000000,25.84000000,9179.23000000,0.00000000,0.00000000,3995.52000000,9179.23000000,0.00000000,9702.33000000,0.00000000,0.00000000,9702.33000000,0.00000000,1,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
2156,2025,3,31,19,0,90,1140,60,9943.16000000,474.35000000,0.00000000,8268.82000000,1200.00000000,0.00000000,2631.89000000,9468.82000000,0.00000000,9943.16000000,0.00000000,0.00000000,9943.16000000,0.00000000,1,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
2157,2025,3,31,20,0,90,1200,60,10043.04000000,454.61000000,0.00000000,8388.43000000,1200.00000000,0.00000000,1268.25000000,9588.43000000,0.00000000,10043.04000000,0.00000000,0.00000000,10043.04000000,0.00000000,1,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
2158,2025,3,31,21,0,90,1260,60,9943.14000000,438.95000000,0.00000000,9504.19000000,0.00000000,0.00000000,1268.25000000,9504.19000000,0.00000000,9943.14000000,0.00000000,0.00000000,9943.14000000,0.00000000,1,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
2159,2025,3,31,22,0,90,1320,60,9702.16000000,427.96000000,0.00000000,9274.20000000,0.00000000,0.00000000,1268.25000000,9274.20000000,0.00000000,9702.16000000,0.00000000,0.00000000,9702.16000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2160,2025,3,31,23,0,90,1380,60,9442.53000000,421.95000000,0.00000000,9020.58000000,0.00000000,0.00000000,1268.25000000,9020.58000000,0.00000000,9442.53000000,0.00000000,0.00000000,9442.53000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2161,2025,4,1,0,0,91,0,60,8856.46000000,539.35000000,0.00000000,8317.11000000,0.00000000,0.00000000,1268.25000000,8317.11000000,0.00000000,8856.46000000,0.00000000,0.00000000,8856.46000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2162,2025,4,1,1,0,91,60,60,8773.56000000,555.35000000,0.00000000,8218.21000000,0.00000000,0.00000000,1268.25000000,8218.21000000,0.00000000,8773.56000000,0.00000000,0.00000000,8773.56000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2163,2025,4,1,2,0,91,120,60,8712.20000000,573.93000000,0.00000000,8138.28000000,0.00000000,0.00000000,1268.25000000,8138.28000000,0.00000000,8712.20000000,0.00000000,0.00000000,8712.20000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2164,2025,4,1,3,0,91,180,60,8697.59000000,594.02000000,0.00000000,8103.56000000,0.00000000,0.00000000,1268.25000000,8103.56000000,0.00000000,8697.59000000,0.00000000,0.00000000,8697.59000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2165,2025,4,1,4,0,91,240,60,8747.61000000,614.42000000,0.00000000,8133.19000000,0.00000000,0.00000000,1268.25000000,8133.19000000,0.00000000,8747.61000000,0.00000000,0.00000000,8747.61000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2166,2025,4,1,5,0,91,300,60,8867.01000000,633.81000000,0.00000000,8233.20000000,0.00000000,0.00000000,1268.25000000,8233.20000000,0.00000000,8867.01000000,0.00000000,0.00000000,8867.01000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2167,2025,4,1,6,0,91,360,60,9043.15000000,650.92000000,30.70000000,8361.54000000,0.00000000,0.00000000,1268.25000000,8361.54000000,0.00000000,9043.15000000,0.00000000,0.00000000,9043.15000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2168,2025,4,1,7,0,91,420,60,9241.54000000,664.57000000,368.59000000,8208.38000000,0.00000000,0.00000000,1268.25000000,8208.38000000,0.00000000,9241.54000000,0.00000000,0.00000000,9241.54000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2169,2025,4,1,8,0,91,480,60,9408.50000000,673.77000000,825.16000000,7909.57000000,0.00000000,0.00000000,1268.25000000,7909.57000000,0.00000000,9408.50000000,0.00000000,0.00000000,9408.50000000,0.00000000,1,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
2170,2025,4,1,9,0,91,540,60,9492.05000000,677.75000000,1354.32000000,7459.97000000,0.00000000,0.00000000,1268.25000000,7459.97000000,0.00000000,9492.05000000,0.00000000,0.00000000,9492.05000000,0.00000000,1,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
2171,2025,4,1,10,0,91,600,60,9473.65000000,676.09000000,1846.50000000,6951.06000000,0.00000000,0.00000000,1268.25000000,6951.06000000,0.00000000,9473.65000000,0.00000000,0.00000000,9473.65000000,0.00000000,1,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
2172,2025,4,1,11,0,91,660,60,9381.48000000,668.66000000,2108.53000000,7391.43000000,0.00000000,787.13000000,1960.93000000,6604.30000000,0.00000000,9381.48000000,0.00000000,0.00000000,9381.48000000,0.00000000,1,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
2173,2025,4,1,12,0,91,720,60,9269.31000000,655.71000000,2104.61000000,7295.14000000,0.00000000,786.15000000,2652.74000000,6508.99000000,0.00000000,9269.31000000,0.00000000,0.00000000,9269.31000000,0.00000000,1,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
2174,2025,4,1,13,0,91,780,60,9181.86000000,637.81000000,1977.08000000,7321.25000000,0.00000000,754.27000000,3316.50000000,6566.98000000,0.00000000,9181.86000000,0.00000000,0.00000000,9181.86000000,0.00000000,1,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
2175,2025,4,1,14,0,91,840,60,9140.57000000,615.82000000,1776.39000000,7452.46000000,0.00000000,704.10000000,3936.10000000,6748.36000000,0.00000000,9140.57000000,0.00000000,0.00000000,9140.57000000,0.00000000,1,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
2176,2025,4,1,15,0,91,900,60,9156.60000000,590.86000000,1407.78000000,7769.91000000,0.00000000,611.94000000,4474.61000000,7157.96000000,0.00000000,9156.60000000,0.00000000,0.00000000,9156.60000000,0.00000000,1,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
2177,2025,4,1,16,0,91,960,60,9248.52000000,564.23000000,880.02000000,7804.27000000,0.00000000,0.00000000,4474.61000000,7804.27000000,0.00000000,9248.52000000,0.00000000,0.00000000,9248.52000000,0.00000000,1,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
2178,2025,4,1,17,0,91,1020,60,9434.56000000,537.31000000,368.59000000,8528.67000000,0.00000000,0.00000000,4474.61000000,8528.67000000,0.00000000,9434.56000000,0.00000000,0.00000000,9434.56000000,0.00000000,1,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
2179,2025,4,1,18,0,91,1080,60,9693.49000000,511.47000000,28.78000000,9153.24000000,0.00000000,0.00000000,4474.61000000,9153.24000000,0.00000000,9693.49000000,0.00000000,0.00000000,9693.49000000,0.00000000,1,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
2180,2025,4,1,19,0,91,1140,60,9934.33000000,488.03000000,0.00000000,8246.30000000,1200.00000000,0.00000000,3110.98000000,9446.30000000,0.00000000,9934.33000000,0.00000000,0.00000000,9934.33000000,0.00000000,1,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
2181,2025,4,1,20,0,91,1200,60,10034.21000000,468.11000000,0.00000000,8366.10000000,1200.00000000,0.00000000,1747.34000000,9566.10000000,0.00000000,10034.21000000,0.00000000,0.00000000,10034.21000000,0.00000000,1,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
2182,2025,4,1,21,0,91,1260,60,9934.31000000,452.63000000,0.00000000,8281.68000000,1200.00000000,0.00000000,383.70000000,9481.68000000,0.00000000,9934.31000000,0.00000000,0.00000000,9934.31000000,0.00000000,1,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
2183,2025,4,1,22,0,91,1320,60,9693.33000000,442.18000000,0.00000000,9251.15000000,0.00000000,0.00000000,383.70000000,9251.15000000,0.00000000,9693.33000000,0.00000000,0.00000000,9693.33000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2184,2025,4,1,23,0,91,1380,60,9433.69000000,437.04000000,0.00000000,8996.65000000,0.00000000,0.00000000,383.70000000,8996.65000000,0.00000000,9433.69000000,0.00000000,0.00000000,9433.69000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2185,2025,4,2,0,0,92,0,60,8847.79000000,533.95000000,0.00000000,8313.83000000,0.00000000,0.00000000,383.70000000,8313.83000000,0.00000000,8847.79000000,0.00000000,0.00000000,8847.79000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2186,2025,4,2,1,0,92,60,60,8764.88000000,547.15000000,0.00000000,8217.73000000,0.00000000,0.00000000,383.70000000,8217.73000000,0.00000000,8764.88000000,0.00000000,0.00000000,8764.88000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2187,2025,4,2,2,0,92,120,60,8703.53000000,562.82000000,0.00000000,8140.71000000,0.00000000,0.00000000,383.70000000,8140.71000000,0.00000000,8703.53000000,0.00000000,0.00000000,8703.53000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2188,2025,4,2,3,0,92,180,60,8688.91000000,579.93000000,0.00000000,8108.98000000,0.00000000,0.00000000,383.70000000,8108.98000000,0.00000000,8688.91000000,0.00000000,0.00000000,8688.91000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2189,2025,4,2,4,0,92,240,60,8738.94000000,597.31000000,0.00000000,8141.63000000,0.00000000,0.00000000,383.70000000,8141.63000000,0.00000000,8738.94000000,0.00000000,0.00000000,8738.94000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2190,2025,4,2,5,0,92,300,60,8858.34000000,613.69000000,0.00000000,8244.64000000,0.00000000,0.00000000,383.70000000,8244.64000000,0.00000000,8858.34000000,0.00000000,0.00000000,8858.34000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2191,2025,4,2,6,0,92,360,60,9034.48000000,627.85000000,32.36000000,8374.26000000,0.00000000,0.00000000,383.70000000,8374.26000000,0.00000000,9034.48000000,0.00000000,0.00000000,9034.48000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2192,2025,4,2,7,0,92,420,60,9232.87000000,638.65000000,362.35000000,8231.88000000,0.00000000,0.00000000,383.70000000,8231.88000000,0.00000000,9232.87000000,0.00000000,0.00000000,9232.87000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2193,2025,4,2,8,0,92,480,60,9399.82000000,645.12000000,849.83000000,7904.88000000,0.00000000,0.00000000,383.70000000,7904.88000000,0.00000000,9399.82000000,0.00000000,0.00000000,9399.82000000,0.00000000,1,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
2194,2025,4,2,9,0,92,540,60,9483.38000000,646.55000000,1388.47000000,7448.35000000,0.00000000,0.00000000,383.70000000,7448.35000000,0.00000000,9483.38000000,0.00000000,0.00000000,9483.38000000,0.00000000,1,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
2195,2025,4,2,10,0,92,600,60,9464.97000000,642.54000000,1790.78000000,7031.65000000,0.00000000,0.00000000,383.70000000,7031.65000000,0.00000000,9464.97000000,0.00000000,0.00000000,9464.97000000,0.00000000,1,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
2196,2025,4,2,11,0,92,660,60,9372.81000000,633.01000000,1972.12000000,7520.71000000,0.00000000,753.03000000,1046.37000000,6767.68000000,0.00000000,9372.81000000,0.00000000,0.00000000,9372.81000000,0.00000000,1,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
2197,2025,4,2,12,0,92,720,60,9260.63000000,618.23000000,2033.62000000,7377.19000000,0.00000000,768.40000000,1722.57000000,6608.79000000,0.00000000,9260.63000000,0.00000000,0.00000000,9260.63000000,0.00000000,1,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
2198,2025,4,2,13,0,92,780,60,9173.19000000,598.79000000,2022.59000000,7317.45000000,0.00000000,765.65000000,2396.34000000,6551.81000000,0.00000000,9173.19000000,0.00000000,0.00000000,9173.19000000,0.00000000,1,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
2199,2025,4,2,14,0,92,840,60,9131.89000000,575.59000000,1817.73000000,7453.01000000,0.00000000,714.43000000,3025.04000000,6738.57000000,0.00000000,9131.89000000,0.00000000,0.00000000,9131.89000000,0.00000000,1,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
2200,2025,4,2,15,0,92,900,60,9147.93000000,549.75000000,1367.89000000,7832.26000000,0.00000000,601.97000000,3554.77000000,7230.29000000,0.00000000,9147.93000000,0.00000000,0.00000000,9147.93000000,0.00000000,1,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
2201,2025,4,2,16,0,92,960,60,9239.85000000,522.59000000,828.62000000,7888.64000000,0.00000000,0.00000000,3554.77000000,7888.64000000,0.00000000,9239.85000000,0.00000000,0.00000000,9239.85000000,0.00000000,1,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
2202,2025,4,2,17,0,92,1020,60,9425.89000000,495.48000000,362.35000000,8568.06000000,0.00000000,0.00000000,3554.77000000,8568.06000000,0.00000000,9425.89000000,0.00000000,0.00000000,9425.89000000,0.00000000,1,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
2203,2025,4,2,18,0,92,1080,60,9684.82000000,469.82000000,33.19000000,9181.81000000,0.00000000,0.00000000,3554.77000000,9181.81000000,0.00000000,9684.82000000,0.00000000,0.00000000,9684.82000000,0.00000000,1,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
2204,2025,4,2,19,0,92,1140,60,9925.66000000,446.92000000,0.00000000,8278.74000000,1200.00000000,0.00000000,2191.14000000,9478.74000000,0.00000000,9925.66000000,0.00000000,0.00000000,9925.66000000,0.00000000,1,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
2205,2025,4,2,20,0,92,1200,60,10025.54000000,427.88000000,0.00000000,8397.65000000,1200.00000000,0.00000000,827.50000000,9597.65000000,0.00000000,10025.54000000,0.00000000,0.00000000,10025.54000000,0.00000000,1,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
2206,2025,4,2,21,0,92,1260,60,9925.63000000,413.62000000,0.00000000,9512.02000000,0.00000000,0.00000000,827.50000000,9512.02000000,0.00000000,9925.63000000,0.00000000,0.00000000,9925.63000000,0.00000000,1,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
2207,2025,4,2,22,0,92,1320,60,9684.66000000,404.70000000,0.00000000,9279.96000000,0.00000000,0.00000000,827.50000000,9279.96000000,0.00000000,9684.66000000,0.00000000,0.00000000,9684.66000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2208,2025,4,2,23,0,92,1380,60,9425.02000000,401.40000000,0.00000000,9023.62000000,0.00000000,0.00000000,827.50000000,9023.62000000,0.00000000,9425.02000000,0.00000000,0.00000000,9425.02000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2209,2025,4,3,0,0,93,0,60,8839.27000000,471.28000000,0.00000000,8368.00000000,0.00000000,0.00000000,827.50000000,8368.00000000,0.00000000,8839.27000000,0.00000000,0.00000000,8839.27000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2210,2025,4,3,1,0,93,60,60,8756.37000000,481.46000000,0.00000000,8274.91000000,0.00000000,0.00000000,827.50000000,8274.91000000,0.00000000,8756.37000000,0.00000000,0.00000000,8756.37000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2211,2025,4,3,2,0,93,120,60,8695.02000000,494.12000000,0.00000000,8200.89000000,0.00000000,0.00000000,827.50000000,8200.89000000,0.00000000,8695.02000000,0.00000000,0.00000000,8695.02000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2212,2025,4,3,3,0,93,180,60,8680.40000000,508.28000000,0.00000000,8172.12000000,0.00000000,0.00000000,827.50000000,8172.12000000,0.00000000,8680.40000000,0.00000000,0.00000000,8680.40000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2213,2025,4,3,4,0,93,240,60,8730.42000000,522.80000000,0.00000000,8207.63000000,0.00000000,0.00000000,827.50000000,8207.63000000,0.00000000,8730.42000000,0.00000000,0.00000000,8730.42000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2214,2025,4,3,5,0,93,300,60,8849.83000000,536.46000000,0.00000000,8313.37000000,0.00000000,0.00000000,827.50000000,8313.37000000,0.00000000,8849.83000000,0.00000000,0.00000000,8849.83000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2215,2025,4,3,6,0,93,360,60,9025.97000000,548.07000000,34.64000000,8443.26000000,0.00000000,0.00000000,827.50000000,8443.26000000,0.00000000,9025.97000000,0.00000000,0.00000000,9025.97000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2216,2025,4,3,7,0,93,420,60,9224.36000000,556.52000000,374.70000000,8293.14000000,0.00000000,0.00000000,827.50000000,8293.14000000,0.00000000,9224.36000000,0.00000000,0.00000000,9224.36000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2217,2025,4,3,8,0,93,480,60,9391.31000000,560.88000000,869.67000000,7960.76000000,0.00000000,0.00000000,827.50000000,7960.76000000,0.00000000,9391.31000000,0.00000000,0.00000000,9391.31000000,0.00000000,1,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
2218,2025,4,3,9,0,93,540,60,9474.86000000,560.49000000,1339.81000000,7574.57000000,0.00000000,0.00000000,827.50000000,7574.57000000,0.00000000,9474.86000000,0.00000000,0.00000000,9474.86000000,0.00000000,1,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
2219,2025,4,3,10,0,93,600,60,9456.46000000,554.94000000,1663.00000000,7238.52000000,0.00000000,0.00000000,827.50000000,7238.52000000,0.00000000,9456.46000000,0.00000000,0.00000000,9456.46000000,0.00000000,1,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
2220,2025,4,3,11,0,93,660,60,9364.30000000,544.20000000,1892.02000000,7661.09000000,0.00000000,733.01000000,1472.54000000,6928.08000000,0.00000000,9364.30000000,0.00000000,0.00000000,9364.30000000,0.00000000,1,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
2221,2025,4,3,12,0,93,720,60,9252.12000000,528.53000000,2067.83000000,7432.72000000,0.00000000,776.96000000,2156.27000000,6655.76000000,0.00000000,9252.12000000,0.00000000,0.00000000,9252.12000000,0.00000000,1,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
2222,2025,4,3,13,0,93,780,60,9164.68000000,508.56000000,2056.23000000,7373.95000000,0.00000000,774.06000000,2837.44000000,6599.89000000,0.00000000,9164.68000000,0.00000000,0.00000000,9164.68000000,0.00000000,1,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
2223,2025,4,3,14,0,93,840,60,9123.38000000,485.18000000,1750.75000000,7585.14000000,0.00000000,697.69000000,3451.40000000,6887.46000000,0.00000000,9123.38000000,0.00000000,0.00000000,9123.38000000,0.00000000,1,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
2224,2025,4,3,15,0,93,900,60,9139.42000000,459.52000000,1272.66000000,7985.40000000,0.00000000,578.17000000,3960.19000000,7407.24000000,0.00000000,9139.42000000,0.00000000,0.00000000,9139.42000000,0.00000000,1,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
2225,2025,4,3,16,0,93,960,60,9231.33000000,432.89000000,800.22000000,7998.22000000,0.00000000,0.00000000,3960.19000000,7998.22000000,0.00000000,9231.33000000,0.00000000,0.00000000,9231.33000000,0.00000000,1,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
2226,2025,4,3,17,0,93,1020,60,9417.37000000,406.66000000,374.70000000,8636.01000000,0.00000000,0.00000000,3960.19000000,8636.01000000,0.00000000,9417.37000000,0.00000000,0.00000000,9417.37000000,0.00000000,1,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
2227,2025,4,3,18,0,93,1080,60,9676.31000000,382.22000000,37.65000000,9256.43000000,0.00000000,0.00000000,3960.19000000,9256.43000000,0.00000000,9676.31000000,0.00000000,0.00000000,9676.31000000,0.00000000,1,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
2228,2025,4,3,19,0,93,1140,60,9917.14000000,360.85000000,0.00000000,8356.29000000,1200.00000000,0.00000000,2596.55000000,9556.29000000,0.00000000,9917.14000000,0.00000000,0.00000000,9917.14000000,0.00000000,1,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
2229,2025,4,3,20,0,93,1200,60,10017.03000000,343.65000000,0.00000000,8473.37000000,1200.00000000,0.00000000,1232.91000000,9673.37000000,0.00000000,10017.03000000,0.00000000,0.00000000,10017.03000000,0.00000000,1,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
2230,2025,4,3,21,0,93,1260,60,9917.12000000,331.48000000,0.00000000,9585.64000000,0.00000000,0.00000000,1232.91000000,9585.64000000,0.00000000,9917.12000000,0.00000000,0.00000000,9917.12000000,0.00000000,1,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
2231,2025,4,3,22,0,93,1320,60,9676.14000000,324.91000000,0.00000000,9351.23000000,0.00000000,0.00000000,1232.91000000,9351.23000000,0.00000000,9676.14000000,0.00000000,0.00000000,9676.14000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2232,2025,4,3,23,0,93,1380,60,9416.51000000,324.16000000,0.00000000,9092.35000000,0.00000000,0.00000000,1232.91000000,9092.35000000,0.00000000,9416.51000000,0.00000000,0.00000000,9416.51000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2233,2025,4,4,0,0,94,0,60,8830.93000000,380.51000000,0.00000000,8450.42000000,0.00000000,0.00000000,1232.91000000,8450.42000000,0.00000000,8830.93000000,0.00000000,0.00000000,8830.93000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2234,2025,4,4,1,0,94,60,60,8748.02000000,387.83000000,0.00000000,8360.19000000,0.00000000,0.00000000,1232.91000000,8360.19000000,0.00000000,8748.02000000,0.00000000,0.00000000,8748.02000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2235,2025,4,4,2,0,94,120,60,8686.67000000,397.77000000,0.00000000,8288.90000000,0.00000000,0.00000000,1232.91000000,8288.90000000,0.00000000,8686.67000000,0.00000000,0.00000000,8686.67000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2236,2025,4,4,3,0,94,180,60,8672.05000000,409.38000000,0.00000000,8262.68000000,0.00000000,0.00000000,1232.91000000,8262.68000000,0.00000000,8672.05000000,0.00000000,0.00000000,8672.05000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2237,2025,4,4,4,0,94,240,60,8722.08000000,421.55000000,0.00000000,8300.53000000,0.00000000,0.00000000,1232.91000000,8300.53000000,0.00000000,8722.08000000,0.00000000,0.00000000,8722.08000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2238,2025,4,4,5,0,94,300,60,8841.48000000,433.11000000,0.00000000,8408.37000000,0.00000000,0.00000000,1232.91000000,8408.37000000,0.00000000,8841.48000000,0.00000000,0.00000000,8841.48000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2239,2025,4,4,6,0,94,360,60,9017.62000000,442.88000000,38.90000000,8535.83000000,0.00000000,0.00000000,1232.91000000,8535.83000000,0.00000000,9017.62000000,0.00000000,0.00000000,9017.62000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2240,2025,4,4,7,0,94,420,60,9216.01000000,449.80000000,386.45000000,8379.76000000,0.00000000,0.00000000,1232.91000000,8379.76000000,0.00000000,9216.01000000,0.00000000,0.00000000,9216.01000000,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
