Time index,Year,Month,Day,Hour,Minute,Day of year,Minute of day,Time resolution_min,Load power_MW,Wind power_MW,PV power_MW,Hydropower output_MW,Pumped-storage generation_MW,Pumped-storage pumping_MW,Stored energy_MWh,Net load_MW,Curtailment_MW,Total supply_MW,Power deficit_MW,Power surplus_MW,Total supply with slack_MW,Power-balance error_MW,Power-deficit flag,TOU season code,General TOU period code,General TOU relative-price index,General TOU tariff_CNY_per_MWh,Yalong River proxy TOU period code,Yalong River proxy relative-price index,Yalong River proxy tariff_CNY_per_MWh,Tariff-policy applicability code
18,2025,1,1,17,0,1,1020,60,10467.21000000,647.37000000,0.00000000,9819.84000000,0.00000000,0.00000000,4080.51000000,9819.84000000,0.00000000,10467.21000000,0.00000000,0.00000000,10467.21000000,0.00000000,1,1,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
19,2025,1,1,18,0,1,1080,60,10726.14000000,623.54000000,0.00000000,9936.00000000,0.00000000,0.00000000,4080.51000000,10102.60000000,0.00000000,10559.54000000,166.60000000,0.00000000,10726.14000000,0.00000000,2,1,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
20,2025,1,1,19,0,1,1140,60,10966.98000000,601.56000000,0.00000000,9165.42000000,1200.00000000,0.00000000,2716.87000000,10365.42000000,0.00000000,10966.98000000,0.00000000,0.00000000,10966.98000000,0.00000000,1,1,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
21,2025,1,1,20,0,1,1200,60,11066.86000000,582.53000000,0.00000000,9284.33000000,1200.00000000,0.00000000,1353.23000000,10484.33000000,0.00000000,11066.86000000,0.00000000,0.00000000,11066.86000000,0.00000000,1,1,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
22,2025,1,1,21,0,1,1260,60,10966.95000000,567.34000000,0.00000000,9199.62000000,1200.00000000,0.00000000,0.00000000,10399.62000000,0.00000000,10966.95000000,0.00000000,0.00000000,10966.95000000,0.00000000,1,1,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
23,2025,1,1,22,0,1,1320,60,10725.98000000,556.59000000,0.00000000,9936.00000000,0.00000000,0.00000000,0.00000000,10169.39000000,0.00000000,10492.59000000,233.39000000,0.00000000,10725.98000000,0.00000000,2,1,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
24,2025,1,1,23,0,1,1380,60,10466.34000000,550.57000000,0.00000000,9915.77000000,0.00000000,0.00000000,0.00000000,9915.77000000,0.00000000,10466.34000000,0.00000000,0.00000000,10466.34000000,0.00000000,1,1,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
25,2025,1,2,0,0,2,0,60,9879.62000000,586.75000000,0.00000000,9292.88000000,0.00000000,0.00000000,0.00000000,9292.88000000,0.00000000,9879.62000000,0.00000000,0.00000000,9879.62000000,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
26,2025,1,2,1,0,2,60,60,9796.72000000,604.31000000,0.00000000,9192.41000000,0.00000000,0.00000000,0.00000000,9192.41000000,0.00000000,9796.72000000,0.00000000,0.00000000,9796.72000000,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
27,2025,1,2,2,0,2,120,60,9735.37000000,624.60000000,0.00000000,9110.77000000,0.00000000,0.00000000,0.00000000,9110.77000000,0.00000000,9735.37000000,0.00000000,0.00000000,9735.37000000,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
