Scenario,Method,Sparse Dictionary Terms,Coefficient Inclusion Probability_pct,Temporal correlation coefficient,Power balance residual_MW,Coefficient drift_vs full-year baseline,Training time_s
"Low data, high noise",W-SINDy,50/51/46/51 (total 198),NaN,0.475875554407821,2505.78153212194,1.00055248688031,0.0229279
"Low data, high noise",SINDy,37/42/30/41 (total 150),NaN,0.740429834071826,619.864281612308,1.00247152500964,0.0215776
"Low data, high noise",PI-E-SINDy,30/40/29/33 (total 132),88.7689393939394,0.749478498435464,366.928122223831,1.00754185659781,0.7186391
"Typical-day transfer",W-SINDy,54/54/39/52 (total 199),NaN,0.640960978234236,434.744111184017,0.0228707083167234,0.0744921
"Typical-day transfer",SINDy,56/56/55/1 (total 168),NaN,0.961717853054951,70.0225438621534,0.00982278543769918,0.044243
"Typical-day transfer",PI-E-SINDy,55/56/53/53 (total 217),98.8536866359447,0.957033948232441,54.3667541059766,0.00887008581898106,5.5065268
"15-min extreme extrapolation",W-SINDy,54/54/40/52 (total 200),NaN,0.901152314557543,100.804082105809,0,0.061244
"15-min extreme extrapolation",SINDy,55/55/55/1 (total 166),NaN,0.923128421279035,55.9188849372015,0,0.0368193
"15-min extreme extrapolation",PI-E-SINDy,55/56/53/53 (total 217),98.8594470046083,0.921205840992952,36.8184596725569,0,5.457947
