Scenario,Method,Total cost_Million USD,Curtailment_MWh,ENS_MWh,RMSE_MW,Constraint violation_pct,Communication count,Trigger rate_pct,Communication reduction_pct,Mean solve time_ms,Max solve time_ms,Solve success rate_pct,Mean ADMM iterations,Max ADMM iterations,Primal residual_converged mean,Dual residual_converged mean
"Low data, high noise",Centralized MPC,246.21085040982,147906.168800734,202284.560485764,1436.2955220845,0.333333333333333,300,100,0,7.66498066666667,148.5489,100,NaN,NaN,NaN,NaN
"Low data, high noise",Periodic-DMPC,388.772356348494,86307.7300986342,352258.22631083,1884.8352001654,0.333333333333333,75,25,75,14.9627223333333,229.1665,100,13.84,30,7.82546140212158,18.3100932681493
"Low data, high noise",ET-DMPC,199.588383471347,169370.397893671,153244.976131151,1323.74631820058,0,217,72.3333333333333,27.6666666666667,34.5762433333333,121.0544,100,12.36866359447,30,9.58857364165697,13.9765593857869
"Typical-day transfer",Centralized MPC,9.99116822604388,1799.26831837599,0,83.7056783843376,0,96,100,0,5.5847625,8.2037,100,NaN,NaN,NaN,NaN
"Typical-day transfer",Periodic-DMPC,37.0150170945663,34826.2022715014,23933.4458192643,987.920739620011,0,24,25,75,8.569209375,96.4363,100,8.125,21,7.66388645465283,14.2421408640731
"Typical-day transfer",ET-DMPC,21.6239320849173,14506.4270947324,10383.214749816,421.581424861498,0,38,39.5833333333333,60.4166666666667,13.5566875,104.1902,100,9,30,6.77663316666039,9.89860876841168
"15-min extreme extrapolation",Centralized MPC,9.4592695385012,344.23000000299,4.71550000000116,33.3235225056814,0,384,100,0,5.59643359375,14.8651,100,NaN,NaN,NaN,NaN
"15-min extreme extrapolation",Periodic-DMPC,14.4231908057001,4928.61743604791,4560.87664341329,185.243551520243,0,96,25,75,2.77758489583333,23.8952,100,2.39583333333333,6,11.7611382843155,7.54640569135155
"15-min extreme extrapolation",ET-DMPC,12.4734213076293,4661.50368419776,2621.69753918899,115.832453845293,0,81,21.09375,78.90625,2.52833098958333,24.569,100,2.60493827160494,6,11.7157563384426,9.49298772394684
