Scenario,Residual feedback,ENS_MWh,RMSE_MW,Trigger rate_pct,Communication reduction_pct,ENS improvement_pct
"Low data, high noise",With,153244.976131151,1323.74631820058,72.3333333333333,27.6666666666667,23.0601262445157
"Low data, high noise",Without,199174.977357209,1485.32546416212,78.3333333333333,21.6666666666667,0
"Typical-day transfer",With,10383.214749816,421.581424861498,39.5833333333333,60.4166666666667,5.53997242005996
"Typical-day transfer",Without,10992.1784016301,436.03608451743,35.4166666666667,64.5833333333333,0
"15-min extreme extrapolation",With,2621.69753918899,115.832453845293,21.09375,78.90625,12.0270743824653
"15-min extreme extrapolation",Without,2980.11862261681,134.373410571611,22.9166666666667,77.0833333333333,0
