Noise level,Method,Support set F1_mean,Support set F1_std,Relative coefficient error_mean,Relative coefficient error_std
SNR 40 dB,W-SINDy,0.715880463622399,0.107229845969456,0.317048489160884,0.0209900750958589
SNR 40 dB,SINDy,0.771379407542396,0.107557066418798,0.12629044073831,0.105814305937106
SNR 40 dB,PI-E-SINDy,0.935924101441343,0.0279307525675413,0.0685828825772246,0.000692393910055365
SNR 30 dB,W-SINDy,0.592151904439937,0.121690289108736,0.301593814131403,0.11809430561838
SNR 30 dB,SINDy,0.553883515670419,0.0747333356307791,0.173219239073371,0.0492843576844833
SNR 30 dB,PI-E-SINDy,0.675147586611001,0.0366085200461207,0.236270216786154,0.0852670777798879
