Time index,Year,Month,Day,Hour,Minute,Day of year,Minute of day,Time resolution_min,Load power_MW,Wind power_MW,PV power_MW,Hydropower output_MW,Pumped-storage generation_MW,Pumped-storage pumping_MW,Stored energy_MWh,Net load_MW,Curtailment_MW,Total supply_MW,Power deficit_MW,Power surplus_MW,Total supply with slack_MW,Power-balance error_MW,Power-deficit flag,Scenario index,TOU season code,General TOU period code,General TOU relative-price index,General TOU tariff_CNY_per_MWh,Yalong River proxy TOU period code,Yalong River proxy relative-price index,Yalong River proxy tariff_CNY_per_MWh,Tariff-policy applicability code
82,2025,10,15,9,0,288,540,60,10672.64000000,531.73000000,1112.16000000,9028.75000000,0.00000000,0.00000000,629.59000000,9028.75000000,0.00000000,10672.64000000,0.00000000,0.00000000,10672.64000000,0.00000000,1,4,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,2
83,2025,10,15,10,0,288,600,60,10654.24000000,525.71000000,1507.17000000,8621.36000000,0.00000000,0.00000000,629.59000000,8621.36000000,0.00000000,10654.24000000,0.00000000,0.00000000,10654.24000000,0.00000000,1,4,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,2
84,2025,10,15,11,0,288,660,60,10562.08000000,514.73000000,1788.23000000,8966.17000000,0.00000000,707.06000000,1251.80000000,8259.11000000,0.00000000,10562.07000000,0.01000000,0.00000000,10562.08000000,0.00000000,2,4,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,2
85,2025,10,15,12,0,288,720,60,10449.90000000,499.07000000,1984.02000000,8722.82000000,0.00000000,756.01000000,1917.09000000,7966.81000000,0.00000000,10449.90000000,0.00000000,0.00000000,10449.90000000,0.00000000,1,4,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,2
86,2025,10,15,13,0,288,780,60,10362.46000000,479.33000000,1951.55000000,8679.46000000,0.00000000,747.89000000,2575.23000000,7931.57000000,0.00000000,10362.45000000,0.01000000,0.00000000,10362.46000000,0.00000000,2,4,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,2
87,2025,10,15,14,0,288,840,60,10321.16000000,456.42000000,1590.78000000,8931.65000000,0.00000000,657.70000000,3154.00000000,8273.96000000,0.00000000,10321.15000000,0.01000000,0.00000000,10321.16000000,0.00000000,2,4,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,2
88,2025,10,15,15,0,288,900,60,10337.20000000,431.47000000,1053.71000000,9375.45000000,0.00000000,523.43000000,3614.62000000,8852.02000000,0.00000000,10337.20000000,0.00000000,0.00000000,10337.20000000,0.00000000,1,4,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,2
89,2025,10,15,16,0,288,960,60,10429.11000000,405.76000000,542.16000000,9481.19000000,0.00000000,0.00000000,3614.62000000,9481.19000000,0.00000000,10429.11000000,0.00000000,0.00000000,10429.11000000,0.00000000,1,4,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,2
90,2025,10,15,17,0,288,1020,60,10615.15000000,380.66000000,127.48000000,9936.00000000,0.00000000,0.00000000,3614.62000000,10107.01000000,0.00000000,10444.14000000,171.01000000,0.00000000,10615.15000000,0.00000000,2,4,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,2
91,2025,10,15,18,0,288,1080,60,10874.09000000,357.54000000,0.00000000,9936.00000000,0.00000000,0.00000000,3614.62000000,10516.55000000,0.00000000,10293.54000000,580.55000000,0.00000000,10874.09000000,0.00000000,2,4,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,2
92,2025,10,15,19,0,288,1140,60,11114.92000000,337.65000000,0.00000000,9577.27000000,1200.00000000,0.00000000,2250.98000000,10777.27000000,0.00000000,11114.92000000,0.00000000,0.00000000,11114.92000000,0.00000000,1,4,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,2
93,2025,10,15,20,0,288,1200,60,11214.80000000,322.09000000,0.00000000,9692.71000000,1200.00000000,0.00000000,887.35000000,10892.71000000,0.00000000,11214.80000000,0.00000000,0.00000000,11214.80000000,0.00000000,1,4,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,2
94,2025,10,15,21,0,288,1260,60,11114.90000000,311.69000000,0.00000000,9936.00000000,0.00000000,0.00000000,887.35000000,10803.20000000,0.00000000,10247.69000000,867.21000000,0.00000000,11114.90000000,0.00000000,2,4,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,2
95,2025,10,15,22,0,288,1320,60,10873.92000000,306.99000000,0.00000000,9936.00000000,0.00000000,0.00000000,887.35000000,10566.93000000,0.00000000,10242.99000000,630.93000000,0.00000000,10873.92000000,0.00000000,2,4,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,2
96,2025,10,15,23,0,288,1380,60,10614.28000000,308.19000000,0.00000000,9936.00000000,0.00000000,0.00000000,887.35000000,10306.10000000,0.00000000,10244.19000000,370.09000000,0.00000000,10614.28000000,0.00000000,2,4,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,2
