Time index,Year,Month,Day,Hour,Minute,Day of year,Minute of day,Time resolution_min,Load power_MW,Wind power_MW,PV power_MW,Hydropower output_MW,Pumped-storage generation_MW,Pumped-storage pumping_MW,Stored energy_MWh,Net load_MW,Curtailment_MW,Total supply_MW,Power deficit_MW,Power surplus_MW,Total supply with slack_MW,Power-balance error_MW,Power-deficit flag,Scenario index,TOU season code,General TOU period code,General TOU relative-price index,General TOU tariff_CNY_per_MWh,Yalong River proxy TOU period code,Yalong River proxy relative-price index,Yalong River proxy tariff_CNY_per_MWh,Tariff-policy applicability code
18,2025,1,15,17,0,15,1020,60,10322.39000000,429.84000000,0.36000000,9892.19000000,0.00000000,0.00000000,3519.02000000,9892.19000000,0.00000000,10322.39000000,0.00000000,0.00000000,10322.39000000,0.00000000,1,1,1,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
19,2025,1,15,18,0,15,1080,60,10581.32000000,416.14000000,0.00000000,9936.00000000,0.00000000,0.00000000,3519.02000000,10165.18000000,0.00000000,10352.14000000,229.18000000,0.00000000,10581.32000000,0.00000000,2,1,1,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
20,2025,1,15,19,0,15,1140,60,10822.16000000,403.96000000,0.00000000,9218.20000000,1200.00000000,0.00000000,2155.38000000,10418.20000000,0.00000000,10822.16000000,0.00000000,0.00000000,10822.16000000,0.00000000,1,1,1,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
21,2025,1,15,20,0,15,1200,60,10922.04000000,394.28000000,0.00000000,9327.76000000,1200.00000000,0.00000000,791.74000000,10527.76000000,0.00000000,10922.04000000,0.00000000,0.00000000,10922.04000000,0.00000000,1,1,1,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
22,2025,1,15,21,0,15,1260,60,10822.13000000,387.84000000,0.00000000,9936.00000000,0.00000000,0.00000000,791.74000000,10434.29000000,0.00000000,10323.84000000,498.29000000,0.00000000,10822.13000000,0.00000000,2,1,1,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
23,2025,1,15,22,0,15,1320,60,10581.16000000,385.13000000,0.00000000,9936.00000000,0.00000000,0.00000000,791.74000000,10196.02000000,0.00000000,10321.13000000,260.03000000,0.00000000,10581.16000000,0.00000000,2,1,1,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
24,2025,1,15,23,0,15,1380,60,10321.52000000,386.33000000,0.00000000,9935.19000000,0.00000000,0.00000000,791.74000000,9935.19000000,0.00000000,10321.52000000,0.00000000,0.00000000,10321.52000000,0.00000000,1,1,1,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
25,2025,4,15,0,0,105,0,60,8750.58000000,191.32000000,0.00000000,8559.25000000,0.00000000,0.00000000,1208.85000000,8559.25000000,0.00000000,8750.57000000,0.01000000,0.00000000,8750.58000000,0.00000000,2,2,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
26,2025,4,15,1,0,105,60,60,8667.67000000,210.92000000,0.00000000,8456.75000000,0.00000000,0.00000000,1208.85000000,8456.75000000,0.00000000,8667.67000000,0.00000000,0.00000000,8667.67000000,0.00000000,1,2,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
27,2025,4,15,2,0,105,120,60,8606.32000000,234.23000000,0.00000000,8372.09000000,0.00000000,0.00000000,1208.85000000,8372.09000000,0.00000000,8606.32000000,0.00000000,0.00000000,8606.32000000,0.00000000,1,2,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
28,2025,4,15,3,0,105,180,60,8591.70000000,260.11000000,0.00000000,8331.59000000,0.00000000,0.00000000,1208.85000000,8331.59000000,0.00000000,8591.70000000,0.00000000,0.00000000,8591.70000000,0.00000000,1,2,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
29,2025,4,15,4,0,105,240,60,8641.73000000,287.26000000,0.00000000,8354.46000000,0.00000000,0.00000000,1208.85000000,8354.46000000,0.00000000,8641.72000000,0.01000000,0.00000000,8641.73000000,0.00000000,2,2,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
30,2025,4,15,5,0,105,300,60,8761.13000000,314.29000000,0.00000000,8446.84000000,0.00000000,0.00000000,1208.85000000,8446.84000000,0.00000000,8761.13000000,0.00000000,0.00000000,8761.13000000,0.00000000,1,2,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
31,2025,4,15,6,0,105,360,60,8937.27000000,339.82000000,100.38000000,8497.07000000,0.00000000,0.00000000,1208.85000000,8497.07000000,0.00000000,8937.27000000,0.00000000,0.00000000,8937.27000000,0.00000000,1,2,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
32,2025,4,15,7,0,105,420,60,9135.66000000,362.54000000,514.89000000,8258.23000000,0.00000000,0.00000000,1208.85000000,8258.23000000,0.00000000,9135.66000000,0.00000000,0.00000000,9135.66000000,0.00000000,1,2,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
33,2025,4,15,8,0,105,480,60,9302.61000000,381.32000000,987.88000000,7933.41000000,0.00000000,0.00000000,1208.85000000,7933.41000000,0.00000000,9302.61000000,0.00000000,0.00000000,9302.61000000,0.00000000,1,2,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
34,2025,4,15,9,0,105,540,60,9386.17000000,395.30000000,1461.40000000,7529.47000000,0.00000000,0.00000000,1208.85000000,7529.47000000,0.00000000,9386.17000000,0.00000000,0.00000000,9386.17000000,0.00000000,1,2,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
35,2025,4,15,10,0,105,600,60,9367.76000000,403.87000000,1947.54000000,7016.36000000,0.00000000,0.00000000,1208.85000000,7016.36000000,0.00000000,9367.77000000,0.00000000,0.01000000,9367.77000000,0.00000000,1,2,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
36,2025,4,15,11,0,105,660,60,9275.60000000,406.79000000,2317.31000000,7390.83000000,0.00000000,839.33000000,1947.46000000,6551.50000000,0.00000000,9275.60000000,0.00000000,0.00000000,9275.60000000,0.00000000,1,2,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
37,2025,4,15,12,0,105,720,60,9163.43000000,404.15000000,2385.05000000,7230.48000000,0.00000000,856.26000000,2700.97000000,6374.22000000,0.00000000,9163.42000000,0.01000000,0.00000000,9163.43000000,0.00000000,2,2,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
38,2025,4,15,13,0,105,780,60,9075.98000000,396.38000000,2176.04000000,7307.58000000,0.00000000,804.01000000,3408.50000000,6503.57000000,0.00000000,9075.99000000,0.00000000,0.01000000,9075.99000000,0.00000000,1,2,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
39,2025,4,15,14,0,105,840,60,9034.69000000,384.20000000,1871.28000000,7507.02000000,0.00000000,727.82000000,4048.98000000,6779.20000000,0.00000000,9034.68000000,0.01000000,0.00000000,9034.69000000,0.00000000,2,2,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
40,2025,4,15,15,0,105,900,60,9050.72000000,368.59000000,1520.95000000,7801.41000000,0.00000000,640.24000000,4612.39000000,7161.18000000,0.00000000,9050.71000000,0.01000000,0.00000000,9050.72000000,0.00000000,2,2,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
41,2025,4,15,16,0,105,960,60,9142.64000000,350.72000000,1052.02000000,7739.90000000,0.00000000,0.00000000,4612.39000000,7739.90000000,0.00000000,9142.64000000,0.00000000,0.00000000,9142.64000000,0.00000000,1,2,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
42,2025,4,15,17,0,105,1020,60,9328.68000000,331.83000000,514.89000000,8481.96000000,0.00000000,0.00000000,4612.39000000,8481.96000000,0.00000000,9328.68000000,0.00000000,0.00000000,9328.68000000,0.00000000,1,2,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
43,2025,4,15,18,0,105,1080,60,9587.61000000,313.20000000,94.26000000,9180.15000000,0.00000000,0.00000000,4612.39000000,9180.15000000,0.00000000,9587.61000000,0.00000000,0.00000000,9587.61000000,0.00000000,1,2,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
44,2025,4,15,19,0,105,1140,60,9828.45000000,296.04000000,0.00000000,8332.41000000,1200.00000000,0.00000000,3248.75000000,9532.41000000,0.00000000,9828.45000000,0.00000000,0.00000000,9828.45000000,0.00000000,1,2,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
45,2025,4,15,20,0,105,1200,60,9928.33000000,281.40000000,0.00000000,8446.93000000,1200.00000000,0.00000000,1885.12000000,9646.93000000,0.00000000,9928.33000000,0.00000000,0.00000000,9928.33000000,0.00000000,1,2,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
46,2025,4,15,21,0,105,1260,60,9828.42000000,270.08000000,0.00000000,8358.34000000,1200.00000000,0.00000000,521.48000000,9558.34000000,0.00000000,9828.42000000,0.00000000,0.00000000,9828.42000000,0.00000000,1,2,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
47,2025,4,15,22,0,105,1320,60,9587.45000000,262.66000000,0.00000000,9324.79000000,0.00000000,0.00000000,521.48000000,9324.79000000,0.00000000,9587.45000000,0.00000000,0.00000000,9587.45000000,0.00000000,1,2,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
48,2025,4,15,23,0,105,1380,60,9327.81000000,259.35000000,0.00000000,9068.46000000,0.00000000,0.00000000,521.48000000,9068.46000000,0.00000000,9327.81000000,0.00000000,0.00000000,9327.81000000,0.00000000,1,2,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
49,2025,7,15,0,0,196,0,60,9023.57000000,165.66000000,0.00000000,8857.91000000,0.00000000,0.00000000,845.73000000,8857.91000000,0.00000000,9023.57000000,0.00000000,0.00000000,9023.57000000,0.00000000,1,3,3,2,1.00000000,450.00000000,2,1.00000000,450.00000000,2
50,2025,7,15,1,0,196,60,60,8940.66000000,183.88000000,0.00000000,8756.78000000,0.00000000,0.00000000,845.73000000,8756.78000000,0.00000000,8940.66000000,0.00000000,0.00000000,8940.66000000,0.00000000,1,3,3,1,0.40000000,180.00000000,1,0.40000000,180.00000000,2
51,2025,7,15,2,0,196,120,60,8879.31000000,204.91000000,0.00000000,8674.40000000,0.00000000,0.00000000,845.73000000,8674.40000000,0.00000000,8879.31000000,0.00000000,0.00000000,8879.31000000,0.00000000,1,3,3,1,0.40000000,180.00000000,1,0.40000000,180.00000000,2
52,2025,7,15,3,0,196,180,60,8864.69000000,227.65000000,0.00000000,8637.04000000,0.00000000,0.00000000,845.73000000,8637.04000000,0.00000000,8864.69000000,0.00000000,0.00000000,8864.69000000,0.00000000,1,3,3,1,0.40000000,180.00000000,1,0.40000000,180.00000000,2
53,2025,7,15,4,0,196,240,60,8914.72000000,250.84000000,0.00000000,8663.88000000,0.00000000,0.00000000,845.73000000,8663.88000000,0.00000000,8914.72000000,0.00000000,0.00000000,8914.72000000,0.00000000,1,3,3,1,0.40000000,180.00000000,1,0.40000000,180.00000000,2
